arousal,valence,dominance
0.2674284,-0.031260893,-0.14273563
0.24490042,-0.02499292,-0.13180777
0.24393016,-0.013947976,-0.13632958
0.24279425,0.0012206249,-0.1401844
0.24177667,0.010062651,-0.1415431
0.24428672,0.029374003,-0.14320384
0.24819744,0.04743456,-0.14853394
0.24410933,0.07327831,-0.14724542
0.2422581,0.09263058,-0.14794947
0.23532212,0.12177631,-0.15135469
0.22524273,0.14245503,-0.14826992
0.2055218,0.15779763,-0.1535021
0.18785042,0.16865161,-0.16183943
0.17225142,0.17696217,-0.16957268
0.16059673,0.18178317,-0.15927044
0.14572246,0.18203868,-0.15624304
0.13696091,0.18489419,-0.16519172
0.13143118,0.1873688,-0.17390984
0.1225227,0.18426383,-0.1826829
0.11456013,0.17623353,-0.19839373
0.10851247,0.16845724,-0.21982186
0.10629232,0.16636506,-0.21154292
0.09731094,0.16016537,-0.21964762
0.0909,0.15911819,-0.20232
0.08358411,0.15769096,-0.1749877
0.074388094,0.15599772,-0.15368892
0.06497908,0.15309623,-0.1272649
0.054753155,0.14790139,-0.104572564
0.04510893,0.1382273,-0.080673404
0.03364134,0.12361804,-0.055991262
0.024687571,0.108360305,-0.047353733
0.02455448,0.10442492,-0.048005246
0.029317873,0.108404346,-0.04949889
0.032633528,0.11852346,-0.048895575
0.029222516,0.121719584,-0.044083606
0.022419708,0.12081619,-0.0382692
0.014541402,0.11837619,-0.032279454
0.0074652242,0.11674995,-0.027059058
0.0010247394,0.11541152,-0.022134328
-0.0052801045,0.114872925,-0.018205438
-0.011519202,0.114995465,-0.015319423
-0.019311449,0.11573861,-0.015552301
-0.024421692,0.1136603,-0.014224519
-0.027213754,0.11011331,-0.011778657
-0.0291746,0.106297866,-0.009315739
-0.030530721,0.10263209,-0.007444658
-0.03164616,0.100219056,-0.005662678
-0.032000322,0.0985065,-0.004853242
-0.03037067,0.097400464,-0.0041665705
-0.027351173,0.09666808,-0.0041306326
-0.0253093,0.095148325,-0.004968355
-0.025915556,0.09218058,-0.0056508235
-0.030036204,0.08673848,-0.006003086
-0.036816504,0.07966213,-0.0049319253
-0.038635395,0.07666318,-0.0057222443
-0.036893178,0.074071355,-0.012824446
-0.038498223,0.07265644,-0.02987545
-0.04693398,0.07643526,-0.055391174
-0.056709442,0.07877031,-0.081351876
-0.06055598,0.08143271,-0.09618897
-0.03670282,0.08104693,-0.10025248
0.009182455,0.09295546,-0.11310111
0.046105713,0.1059059,-0.12094821
0.07452195,0.11675212,-0.12611464
0.07925507,0.12349381,-0.10886565
0.07193427,0.122930214,-0.08867234
0.060897347,0.11676464,-0.068971455
0.051307473,0.10694751,-0.05034091
0.047462482,0.09466851,-0.040001556
0.04585518,0.09066633,-0.036513012
0.040429868,0.090180054,-0.030034544
0.04996671,0.086713485,-0.028915724
0.058247626,0.080694914,-0.036673103
0.05460066,0.07661821,-0.045341
0.04337716,0.07275341,-0.049574353
0.02898234,0.06882109,-0.052814845
0.023140512,0.072671495,-0.055382844
0.031245945,0.084194,-0.06774405
0.043227468,0.104438365,-0.08867255
0.052626908,0.12600315,-0.1151685
0.053229988,0.14194046,-0.12801097
0.048883177,0.15357012,-0.13511011
0.038850393,0.16608895,-0.14422387
0.03661301,0.17101233,-0.1599885
0.050109185,0.1645492,-0.1746258
0.056829594,0.1636133,-0.15961309
0.054183766,0.16111967,-0.13690679
0.046223447,0.15597631,-0.11331317
0.03408004,0.1489628,-0.09044102
0.01947374,0.14075302,-0.06933464
0.0027476577,0.13109747,-0.050574046
-0.015932607,0.1181593,-0.03489517
-0.0164796,0.103848554,-0.032826334
-0.013541447,0.09828586,-0.030629518
-0.008397629,0.10142575,-0.013339456
0.00786364,0.114866346,0.010397244
0.023552017,0.12256186,0.0123892315
0.025410958,0.12829158,0.02249784
0.023978474,0.14022413,0.037706733
0.022690224,0.1487883,0.03811709
0.016703827,0.140422,0.018848782
0.015986532,0.13575391,0.0032504965
0.01947512,0.13688245,-0.019570546
0.016028123,0.14056672,-0.043887343
0.014732549,0.13777635,-0.0584078
0.016505778,0.13839251,-0.06784174
0.013637521,0.14135006,-0.0838178
0.010884875,0.14804699,-0.10174838
0.0035450072,0.15569714,-0.116730765
0.00070613436,0.15890828,-0.11537972
0.0033910454,0.15434901,-0.1075301
0.009134109,0.15005034,-0.10262632
0.018930819,0.14429685,-0.10303773
0.029103175,0.14478235,-0.107471034
0.044128194,0.14614713,-0.12395794
0.05400297,0.14926182,-0.11377199
0.054823156,0.14988048,-0.117688194
0.057348922,0.15429318,-0.12117305
0.05906064,0.16271362,-0.12276014
0.06459117,0.16844949,-0.120238334
0.07654323,0.16717277,-0.112091646
0.08330369,0.17204444,-0.101430096
0.08816378,0.17457315,-0.08412962
0.09381099,0.17621115,-0.0737988
0.100976095,0.18001054,-0.064422816
0.11102362,0.18039273,-0.06411307
0.12693717,0.17628433,-0.068868436
0.14894813,0.17246589,-0.069199875
0.17130238,0.17447291,-0.07712244
0.19043165,0.16873123,-0.090141274
0.2077328,0.15922943,-0.09564018
0.22303835,0.15733786,-0.09707055
0.23451006,0.15999138,-0.098281905
0.23340349,0.17178448,-0.101128764
